FirstName,LastName,Position,Number,HeightInches,Weight,Class,Team,Season,Hometown,PreviousSchool,Role,DraftRound,DraftPick,Awards,AwardContender,GamesPlayed,GamesStarted,Completions,Attempts,PassYards,PassTD,PassInt,RushAttempts,RushYards,RushTD,Receptions,RecYards,RecTD,Tackles,TacklesForLoss,Sacks,Interceptions,PassesDefended,ForcedFumbles,FieldGoalsMade,FieldGoalsAttempted,PuntAverage,Notes
Antavious,Woody,OL,,76,305,Redshirt Freshman,Florida State,2023,"LaFayette, AL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Andre,Otto,OL,,77,310,Redshirt Sophomore,Florida State,2023,,,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; verify roster status
Jared,Verse,DE,5,76,260,Redshirt Senior,Florida State,2023,"Dade City, FL",Albany,Starter,1,19,second-team all-american; first-team all-conference,,12,12,,,,,,,,,,,,41,12.5,9,,3,1,,,,Starting edge; consensus All-American
Patrick,Payton,DE,11,77,250,Redshirt Sophomore,Florida State,2023,"Miami, FL",,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Starting edge opposite Verse
Gilber,Edmond,DE,,76,250,Redshirt Junior,Florida State,2023,"Fort Lauderdale, FL",South Carolina,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; rotation edge/LB
Byron,Turner,DE,,76,265,Redshirt Sophomore,Florida State,2023,"New Orleans, LA",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; rotation
Fabien,Lovett,DT,0,76,315,Redshirt Senior,Florida State,2023,"Vicksburg, MS",Mississippi State,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Starting DT; verify jersey (0)
Braden,Fiske,DT,55,77,295,Redshirt Senior,Florida State,2023,"Michigan City, IN",Western Michigan,Starter,2,39,third-team all-american; second-team all-conference,,13,13,,,,,,,,,,,,43,9,6,,,,,,,Starting DT; verify jersey
Joshua,Farmer,DT,47,75,305,Redshirt Sophomore,Florida State,2023,"Port St. Joe, FL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation DT; verify jersey
Malcolm,Ray,DT,99,74,300,Redshirt Junior,Florida State,2023,"Miami, FL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation DT; verify jersey
Darrell,Jackson,DT,,77,330,Junior,Florida State,2023,"Havana, FL",Miami,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,On 2023 roster; did not play while awaiting transfer eligibility — verify
KJ,Sampson,DT,,75,290,Freshman,Florida State,2023,"Deerfield Beach, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; 2023 signee
Ayobami,Tifase,DT,,76,305,Redshirt Freshman,Florida State,2023,"Baltimore, MD",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Daniel,Lyons,DT,,75,290,Redshirt Freshman,Florida State,2023,"Homestead, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Kalen,DeLoach,LB,4,73,225,Redshirt Senior,Florida State,2023,"Savannah, GA",,Starter,,UDFA,first-team all-conference,,13,13,,,,,,,,,,,,68,10.5,7,1,2,2,,,,Starting LB
Tatum,Bethune,LB,15,73,230,Redshirt Senior,Florida State,2023,"Miami, FL",UCF,Starter,7,251,,,13,,,,,,,,,,,,,,,,,,,,,,Starting LB; verify jersey
DJ,Lundy,LB,10,73,245,Redshirt Junior,Florida State,2023,"Ocilla, GA",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation LB; verify jersey
Blake,Nichelson,LB,18,75,215,Freshman,Florida State,2023,"Manteca, CA",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed from 2023 newcomer release
Omar,Graham,LB,,73,220,Freshman,Florida State,2023,"Fort Lauderdale, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; 2023 signee
Justin,Cryer,LB,,73,225,Redshirt Freshman,Florida State,2023,"Miami, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Jayion,McCluster,LB,,72,220,Redshirt Freshman,Florida State,2023,"Largo, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Fentrell,Cypress,CB,23,72,185,Redshirt Senior,Florida State,2023,"Rock Hill, SC",Virginia,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed (No. 23)
Jarrian,Jones,CB,7,71,190,Redshirt Senior,Florida State,2023,"Magee, MS",Mississippi State,Starter,3,96,,,13,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed (No. 7)
Renardo,Green,CB,8,72,195,Redshirt Senior,Florida State,2023,"Orlando, FL",,Starter,3,64,second-team all-conference,,13,13,,,,,,,,,,,,43,2.5,0.5,1,13,,,,,Jersey confirmed (No. 8)
Azareye'h,Thomas,CB,13,74,195,Sophomore,Florida State,2023,"Niceville, FL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,verify jersey
Kevin,Knowles,DB,3,70,180,Junior,Florida State,2023,"Hollywood, FL",,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Nickel; jersey confirmed (No. 3)
Greedy,Vance,CB,,71,175,Redshirt Junior,Florida State,2023,"New Orleans, LA",Louisville,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; verify 2023 roster status
Omarion,Cooper,CB,,72,190,Junior,Florida State,2023,"Lehigh Acres, FL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Quindarrius,Jones,DB,,74,190,Redshirt Freshman,Florida State,2023,"Meridian, MS",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed
Conrad,Hussey,DB,12,72,190,Freshman,Florida State,2023,"Palm Beach Gardens, FL",,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed from 2023 newcomer release
Edwin,Joseph,DB,13,72,190,Freshman,Florida State,2023,"Miami, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed from 2023 newcomer release
Akeem,Dent,S,1,73,195,Redshirt Senior,Florida State,2023,"Pahokee, FL",,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey per 2023 sources (previously 27); verify
Shyheim,Brown,S,38,74,200,Redshirt Sophomore,Florida State,2023,"Lakeland, FL",,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed (No. 38)
Ashlynd,Barker,DB,27,75,200,Redshirt Freshman,Florida State,2023,"Gainesville, GA",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey confirmed from 2023 newcomer release
Kenton,Kirkland,DB,,72,190,Freshman,Florida State,2023,"Jacksonville, FL",,Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey unconfirmed; 2023 signee
Ryan,Fitzgerald,K,88,73,190,Redshirt Junior,Florida State,2023,"Colquitt, GA",,Starter,,,first-team all-american,,,,,,,,,,,,,,,,,,,,,19,21,,Starting placekicker; verify jersey
Tyler,Keltner,K,,73,185,Redshirt Senior,Florida State,2023,"Tallahassee, FL",East Tennessee State,Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,Kickoff specialist; jersey unconfirmed; verify roster status
Alex,Mastromanno,P,29,74,220,Senior,Florida State,2023,"Melbourne, Australia",,Starter,,,first-team all-american,,,,,,,,,,,,,,,,,,,,,,,49.3,Starting punter; verify jersey
James,Rosenberry,LS,,73,230,Redshirt Senior,Florida State,2023,"Tallahassee, FL",,Starter,,,,,,,,,,,,,,,,,,,,,,,,,,,Long snapper; jersey unconfirmed
